Station Vel_N(mm/yr) Vel_E(mm/yr) Vel_U(mm/yr) Dur_N Dur_E Dur_U Vel_N_midas(mm/yr) Vel_E_midas(mm/yr) Vel_U_midas(mm/yr) Latitude(deg) Longitude(deg) Height(m) diff_N(mm/yr) diff_E(mm/yr) diff_U(mm/yr)
0JUO 14.4 16.8 7.8 16.25 16.25 16.25 14.3 16.8 8.0 67.431 -337.499 253.7 0.1 0.0 -0.2
0KAB 14.6 16.4 8.9 18.22 18.22 18.22 14.6 16.4 9.2 66.149 -340.011 387.3 0.0 0.0 -0.3
0KAL 15.0 17.4 4.9 22.85 22.85 20.27 14.9 17.4 5.3 58.664 -346.807 90.1 0.1 0.0 -0.4
0KAR 14.7 17.0 6.4 26.01 26.01 26.01 14.8 17.0 6.0 59.444 -346.494 114.4 -0.1 -0.0 0.4
0KAS 17.2 13.4 8.1 10.48 10.50 17.64 16.8 13.8 8.0 63.701 -347.041 434.3 0.4 -0.4 0.1
0KAT 13.7 19.5 2.6 19.35 19.35 19.35 13.8 19.4 2.5 57.427 -341.162 56.1 -0.1 0.1 0.1
0KBO 14.5 17.6 4.7 13.62 13.62 13.62 14.4 17.8 4.6 58.531 -345.489 135.5 0.1 -0.2 0.1
0KEB 15.0 15.6 6.7 6.91 6.91 6.91 15.0 15.4 7.2 67.868 -341.377 709.4 0.0 0.2 -0.5
0KER 14.3 16.9 9.5 5.99 7.14 7.14 14.2 17.0 9.1 65.852 -336.110 37.5 0.1 -0.1 0.4
0KIC 13.4 13.4 6.5 16.64 16.64 16.64 13.4 13.6 6.4 67.860 -339.765 618.2 -0.0 -0.2 0.1
0KIE 14.7 15.7 6.9 16.64 16.64 16.64 14.6 15.8 6.9 67.847 -339.620 460.2 0.1 -0.1 0.0
0KIR 14.5 16.2 7.6 24.85 26.66 12.69 14.6 16.1 6.8 67.878 -338.940 498.1 -0.1 0.1 0.8
0KIV 15.3 15.6 6.6 12.43 12.43 12.43 15.3 15.5 6.6 67.794 -339.771 547.1 -0.0 0.1 0.0
0KLI 13.9 19.4 2.9 19.35 16.35 19.35 14.1 19.4 2.9 57.386 -341.788 42.9 -0.2 0.0 0.0
0KNA 14.7 17.8 1.5 14.26 22.97 22.97 14.7 17.9 1.7 56.522 -346.682 114.0 -0.0 -0.1 -0.2
0KOL 14.3 18.2 6.6 13.76 13.76 13.76 14.3 17.9 6.7 59.594 -344.146 89.1 -0.0 0.3 -0.1
0KOP 14.7 16.6 6.0 7.21 7.22 7.22 14.6 16.4 6.1 59.716 -347.839 167.6 0.1 0.2 -0.1
0KOR 14.2 17.3 8.8 16.70 16.70 16.70 14.2 17.2 8.7 66.848 -336.944 208.3 0.0 0.1 0.1
0KOT 14.9 17.2 3.2 14.71 14.71 14.71 14.9 17.1 3.0 57.762 -347.962 170.1 0.0 0.1 0.2
0KOV 14.2 19.2 1.9 12.77 12.77 12.77 14.1 18.7 1.6 56.881 -343.275 51.7 0.1 0.5 0.3
0KRA 14.5 17.2 9.8 19.47 19.47 19.47 14.5 17.3 9.5 62.875 -342.072 151.1 -0.0 -0.1 0.3
0KRB 14.9 16.7 9.0 10.39 10.39 10.39 14.8 16.6 8.8 61.983 -344.685 284.9 0.1 0.1 0.2
0KRE 14.4 18.5 4.4 10.38 10.38 10.38 14.3 18.4 4.6 58.674 -343.662 122.7 0.1 0.1 -0.2
0KRI 14.9 18.5 1.5 14.61 14.61 14.61 14.9 18.4 1.2 56.031 -345.817 52.1 0.0 0.1 0.3
0KRO 15.0 17.4 3.0 13.18 13.18 13.18 15.0 17.5 3.1 57.680 -348.015 127.4 -0.0 -0.1 -0.1
0KST 14.7 18.4 1.4 12.50 12.49 12.50 14.7 18.3 1.3 56.841 -344.605 267.7 -0.0 0.1 0.1
0KTH 13.8 18.7 5.7 11.06 11.06 11.06 13.7 18.7 5.7 59.350 -341.931 75.3 0.1 -0.0 -0.0
